Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,95,0.0005980861262889,0.0637461276114993,0.0005980861568711,0.0005980861851733,0.0005980861274492,0.048857015216959,0.0171043388602836,0.2637508813174463,0.0005980861613241,0.0392883659255256,0.000598086192264,0.0005980861380272,0.0005980861261369,0.000598086179608,0.380298895230333,0.1171754514230962,0.3577385465179248,0.4541189139296976,0.9979919658553876,0.901821862348178,0.3394476504534212,0.1371101880258922,sadness,1.0
161,johnnie ray,here am i,1955,pop,break hearted forget mighty soon break hearted time say goodbye know lose lose therer girl break hearted heart know pain hadn love vain break hearted,25,0.002770083140044,0.0027700831719563,0.0027700832594754,0.0027700834633125,0.0027700831171505,0.0027700831268463,0.119214288209542,0.1903751188131971,0.0027700831421565,0.0027700833742614,0.0027700832471015,0.0027700831930543,0.05642327531889,0.0576570658119096,0.5375490868271245,0.0027700831077122,0.3068341817394129,0.5754941927544035,0.9789156414815678,0.0,0.2549464138499588,0.0739450521377644,sadness,0.9285714285714286
322,johnny mathis,"baby, baby, baby",1957,pop,scratch surface time underneath know come world disappear come lose kiss deep deep deep tear apart deep deep deep deep inside heart life place want stay stop hold stop deep deep deep tear apart deep deep deep deep inside heart come world disappear come lose kiss deep deep deep tear apart oohooh deep deep deep deep inside heart baby baby baby deep deep deep tear apart oohoohoohooh deep deep deep deep inside heart,73,0.0953825818898828,0.000751879725992,0.0522821425191498,0.0007518797217153,0.0007518796998916,0.0007518796995234,0.0365032817459779,0.0007518797123169,0.0007518797074537,0.000751879702466,0.0007518797152825,0.00075187974603,0.0007518797080154,0.000751879716788,0.7499902875847149,0.0007518797004775,0.0923860067150438,0.5830833525626233,0.854417524515587,0.0005232793522267,0.1962077493816982,0.3002784471346852,sadness,0.9
449,billy vaughn,yours,1958,pop,waltz tempo hold arm dear dream cradle kiss tenderly choir angels sing instrumental break heart heart forever lips entwine heaven write music,22,0.0032894736842109,0.0032894737208931,0.0032894737381914,0.0032894736843039,0.0032894736843563,0.0032894736993399,0.4897213938742112,0.0032894736885502,0.003289473714483,0.2564506014521355,0.0032894736945222,0.0032894761857856,0.0032894738894594,0.0032894736910104,0.1159908396788208,0.0032894736842109,0.4996209249431388,0.5672127785042176,0.3805214663870144,0.0064676113360323,0.6578730420445177,0.2542309629690136,romantic,0.8857142857142857
593,neil sedaka,moon of gold,1959,pop,moon gold love sweetheart say goodbye moonlight kiss share memory light glow tender word whisper promise come true know soon leave long moon glow go sweetheart memory grow cold tarnish moon gold go sweetheart memory grow cold tarnish moon gold,40,0.0015037595024624,0.0015037594801713,0.001503759498345,0.0015037595473517,0.0015037594137673,0.0015037594453722,0.307174588173579,0.0015037595646657,0.001503759419173,0.0015037595232705,0.0015037595187909,0.4606466394180168,0.0015037594130836,0.0015037594069976,0.1542813132999415,0.0553410671681313,0.5364453590382325,0.7221495782375714,0.7811242782372273,0.0,0.5620362737015663,0.5155003839959766,romantic,0.8714285714285714
726,neil sedaka,oh! carol,1959,pop,fool darling treat cruel hurt leave surely darling cause leave want sweetheart matter fool darling treat cruel hurt leave surely darling cause leave want sweetheart matter,26,0.0025062657769548,0.0025062656759034,0.0025062657140971,0.0025062657083544,0.0025062656786126,0.0025062657276471,0.2263313586980532,0.2625361330856586,0.0025062657259705,0.0025062656743226,0.0025062656959457,0.0025062656665707,0.0025062656641605,0.0025062657863786,0.3447106614666101,0.002506265676991,0.7216506011047331,0.8312950285875444,0.6325297515358952,3.603238866396762e-05,0.9701154163231656,0.7347264499151526,sadness,0.8714285714285714
870,the flamingos,you belong to my heart,1960,pop,know break heart grey night dark go walk right night search flame light mind lonely misunderstand darling stand face homely evil eye inside baby heart belong come baby lifes come tear deeper felt close take breathless thoughts go like reach higher grind remember goodbye say forgive friend close veily eye door deep mind baby heart belong come baby lifes come tear friend hand,63,0.1472559050440635,0.0516143244867205,0.0009398496906963,0.0497349551505961,0.0009398496288127,0.0009398496306723,0.0720852285436769,0.085188462889589,0.0009398496410259,0.000939849654673,0.0009398496672608,0.1768691600872856,0.0009398496340191,0.0009398496711884,0.3877529132399391,0.0191607044576649,0.4259720567529514,0.6482834653744582,0.7489957319234257,0.0,0.7619538334707338,0.5995870942115509,sadness,0.8571428571428571
1032,the platters,harbor lights,1960,pop,harbor light tell part harbor light bring watch harbor light help tear start goodbye tender nights silvery long hold near kiss ship shore know lonely nights heart whisper harbor light steal long hold near kiss ship shore know lonely nights heart whisper harbor light steal,45,0.0013850415838188,0.0013850415794698,0.0013850415986786,0.0348464957692674,0.001385041560459,0.0013850418405591,0.3473375910863028,0.0013850417132603,0.0013850415867277,0.0013850416271937,0.0013850415750848,0.3499075036653063,0.0013850415704324,0.0013850415696661,0.2471327853948821,0.0013850415556389,0.2147730965016788,0.5711611927287643,0.9166665829985772,0.0006568825910931,0.2879225061830173,0.2902681244899739,romantic,0.8571428571428571
1177,johnny burnette,oh lonesome me,1961,pop,lonesome train lonesome track go away come go baby lonesome train lonesome track lonesome train lonesome track trouble pack baby leave lonely lonesome train lonesome track lonesome train lonesome track girl fact live die lonesome train lonesome track lonesome train lonesome track want baby want want forever travel lonesome train lonesome track,52,0.0790125704126436,0.0009930487281458,0.0742515061427092,0.0009930486793359,0.0009930486593845,0.0009930486791097,0.0009930486624345,0.0009930486965049,0.0009930487155592,0.4354836113290374,0.0009930487093671,0.000993048664347,0.0200843159461007,0.0142598378672961,0.0009930487555429,0.0009930487491624,0.4530488465287555,0.6328743942773633,0.6636542807773903,1.4979757085020242e-06,0.8825226710634789,0.5805674811865995,music,0.8428571428571429
1313,roy orbison,this kind of love,1961,pop,kind mean kind mean young true kind mean kind mean dream life wife kind mean kind mean dream life wife kind mean kind mean kind mean,26,0.0019493177557375,0.0019493177485982,0.4023249502667009,0.0019493177393044,0.0019493177399518,0.0019493177745794,0.0019493178165188,0.3918389489617235,0.0019493177811919,0.0019493177428181,0.0019493178360804,0.0019493177628378,0.0019493182173856,0.1746470160637794,0.0019493177531471,0.0019493177387915,0.5342792158561682,0.6982027023562289,0.4578307809545994,4.251012145748987e-05,0.9412613355317396,0.6606500623442894,world/life,0.8428571428571429
1474,jerry vale,you alone (solo tu),1962,pop,dream know bring lonely heart heaven view dream come true tonight eye tell come arm hold live solo solo sogno amor sempre cuor sogno vero perche solo dream know bring lonely heart heaven view dream come true tonight,38,0.1438608996681214,0.0018148820693248,0.0980419762431548,0.0858835848184023,0.0018148820445745,0.0018148820514063,0.4401216213737843,0.0018148822214492,0.0018148820757806,0.0018148821496717,0.0018148820650529,0.2066835686432575,0.0018148820595394,0.0018148820551679,0.0018148821991795,0.0018148820373705,0.2223545976389039,0.5331384765274465,0.8835340196124696,0.0012753036437246,0.1220115416323165,0.1931679948362751,romantic,0.8285714285714286
